,spend,Impressions,leads,link_clicks,reach,Agency Tiers
651,42.37,1906,1,16,1720,4
652,31.57,1889,1,17,1788,4
653,61.13,2186,1,6,1965,4
654,64.38,3250,1,23,3088,4
655,48.77,1695,0,17,1549,4
656,31.54,1660,1,12,1599,4
657,44.19,2730,1,31,2554,4
658,65.02,2181,1,19,2018,4
659,7.93,489,0,3,457,4
660,16.31,737,0,6,701,4
661,32.06,1341,1,13,1298,4
662,57.16,2949,1,21,2777,4
663,42.1,2415,1,21,2154,4
664,50.07,2151,1,21,2037,4
665,15.4,559,1,8,528,4
666,23.37,817,0,4,759,4
667,57.71,2304,1,31,2048,4
668,23.28,937,0,6,856,4
669,7.02,210,0,3,200,4
670,31.85,2181,1,11,2076,4
671,38.44,2212,0,14,1879,4
672,24.46,867,1,5,798,4
673,66.42,2716,1,22,2586,4
674,48.73,2478,1,24,2297,4
675,60.68,2008,0,8,1891,4
676,6.87,268,0,2,249,4
677,34.78,1060,1,18,1037,4
678,48.87,1924,1,11,1779,4
679,64.44,3724,1,41,3260,4
680,98.79,4536,1,18,4360,4
681,73.2,2967,1,14,2757,4
682,7.25,298,0,3,288,4
683,7.17,300,1,4,283,4
684,48.52,2023,1,10,1901,4
685,63.98,2855,0,13,2730,4
686,40.45,1818,0,9,1609,4
687,31.72,1750,1,10,1647,4
688,31.17,1867,1,19,1791,4
689,32.14,1544,1,30,1354,4
690,32.19,2326,1,17,2189,4
691,63.94,3596,1,23,3334,4
692,31.96,2235,1,21,2097,4
693,49.06,2760,1,27,2572,4
694,15.85,763,1,21,731,4
695,31.77,991,1,8,912,4
696,7.04,414,0,5,398,4
697,6.78,489,0,2,470,4
698,98.17,3535,1,25,3380,4
699,54.12,1547,0,6,1445,4
700,16.35,929,1,7,878,4
701,48.62,2731,1,32,2594,4
702,7.26,216,0,2,209,4
703,71.87,3530,1,24,3398,4
704,32.21,1573,1,21,1458,4
705,48.4,2114,1,25,2053,4
706,52.88,2836,1,25,2644,4
707,49.5,2430,1,32,2120,4
708,41.45,2159,0,15,1956,4
709,40.95,1785,1,28,1609,4
710,58.16,3106,1,14,2842,4
711,47.87,2028,1,35,1863,4
712,57.73,3709,1,21,3614,4
713,23.82,868,0,8,828,4
714,31.76,1007,0,9,919,4
715,16.13,706,0,4,672,4
716,16.95,674,1,16,632,4
717,63.56,3485,1,26,3372,4
718,29.72,1232,1,15,1169,4
719,39.59,1337,1,12,1276,4
720,34.49,1666,1,23,1620,4
721,38.49,1548,0,17,1387,4
722,47.85,2251,1,21,2159,4
723,48.12,2987,1,46,2722,4
724,65.78,3803,1,20,3617,4
725,16.21,504,0,6,461,4
726,15.91,1245,1,14,1135,4
727,49.32,2101,1,26,1934,4
728,23.87,703,0,12,659,4
729,24.33,913,1,12,867,4
730,6.84,269,1,5,263,4
731,65.08,2489,1,24,2285,4
732,40.04,1778,0,20,1507,4
733,41.47,1425,1,22,1280,4
734,16.17,1129,1,11,1100,4
735,64.49,1703,1,9,1516,4
736,34.59,1718,1,12,1691,4
737,36.54,1712,1,14,1518,4
738,28.93,992,0,2,952,4
739,16.1,1012,1,18,983,4
740,16.17,794,0,6,756,4
741,64.5,2720,1,26,2581,4
742,64.88,2181,0,8,2048,4
743,85.84,3242,1,24,2967,4
744,7.07,307,0,4,295,4
745,16.5,1238,1,14,1186,4
746,50.24,2322,1,18,2211,4
747,69.05,3954,1,22,3830,4
748,16.12,540,1,6,523,4
749,18.57,1019,1,20,945,4
750,65.95,2528,1,22,2378,4
751,41.28,1376,1,14,1260,4
752,48.66,1735,1,21,1639,4
753,49.41,2248,1,29,2182,4
754,65.12,3245,1,30,3026,4
755,39.41,2157,1,8,1969,4
756,32.26,1770,1,15,1600,4
757,66.09,3214,1,45,2921,4
758,15.97,664,1,6,650,4
759,48.14,2159,1,35,2109,4
760,66.94,3005,1,30,2790,4
761,63.58,3055,1,14,2885,4
762,31.81,2021,1,28,1892,4
763,56.4,2337,0,17,2163,4
764,16.79,417,0,3,361,4
765,49.53,2121,1,26,2047,4
766,7.13,220,0,0,215,4
767,32.0,1710,1,13,1601,4
768,32.25,1958,1,15,1902,4
769,32.08,1660,1,20,1587,4
770,39.27,2168,1,27,2037,4
771,48.07,2279,0,11,2066,4
772,31.7,1389,1,10,1268,4
773,48.72,1765,1,13,1641,4
774,33.0,2270,1,17,2179,4
775,23.69,985,0,10,911,4
776,40.99,1858,1,28,1697,4
777,6.94,555,0,1,509,4
778,64.42,2135,0,14,1976,4
779,50.69,2441,1,27,2325,4
780,37.5,1444,1,15,1358,4
781,43.77,1293,1,12,1213,4
782,6.75,567,0,2,531,4
783,47.67,2226,0,22,2132,4
784,15.15,670,0,5,624,4
785,24.73,761,1,11,684,4
786,47.91,2230,1,15,2151,4
787,28.55,1459,1,6,1355,4
788,31.62,1513,1,10,1411,4
789,7.42,280,0,6,268,4
790,7.05,229,1,5,219,4
791,97.62,4512,1,22,4280,4
