"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",2.02,226,0,0,221,"Agency 3"
"CA","B2",18.29,965,0,12,953,"Agency 3"
"CA","B2",65.78,3660,7,37,3479,"Agency 2"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",32.5,1813,2,41,1716,"Agency 5"
"CA","B2",50.45,2547,5,33,2462,"Agency 2"
"CA","B2",88.05,4045,5,38,3867,"Agency 2"
"CA","B2",25.54,1045,1,3,987,"Agency 3"
"CA","B2",55.76,2467,0,20,2206,"Agency 2"
"CA","B2",23.73,1119,0,3,1064,"Agency 3"
"CA","B2",30.92,1409,0,8,1315,"Agency 3"
"CA","B2",32.25,1891,2,12,1744,"Agency 2"
"CA","B2",40.71,958,1,12,838,"Agency 2"
"CA","B2",36.92,2015,1,8,1932,"Agency 3"
"CA","B2",16.69,682,4,11,595,"Agency 3"
"CA","B2",65.45,2957,4,26,2761,"Agency 2"
"CA","B2",57.3,2192,4,24,2086,"Agency 2"
"CA","B2",16.48,1356,2,7,1297,"Agency 3"
"CA","B2",31.31,2866,22,55,2582,"Agency 2"
"CA","B2",21.3,910,0,5,898,"Agency 3"
"CA","B2",31.82,1616,3,13,1529,"Agency 2"
"CA","B2",22.04,672,1,8,616,"Agency 3"
"CA","B2",63.53,3064,1,9,2869,"Agency 2"
"CA","B2",41.26,1419,2,12,1321,"Agency 2"
"CA","B2",24.19,859,1,7,807,"Agency 2"
"CA","B2",20.46,905,1,8,876,"Agency 3"
"CA","B2",38.14,1290,1,8,1208,"Agency 2"
"CA","B2",5.4,151,1,2,147,"Agency 3"
"CA","B2",33.35,1256,1,13,1147,"Agency 7"
"CA","B2",31.72,1482,2,14,1446,"Agency 3"
"CA","B2",22.65,973,3,7,932,"Agency 3"
"CA","B2",12.04,829,0,1,792,"Agency 3"
"CA","B2",20.1,1419,2,13,1366,"Agency 2"
"CA","B2",11.9,442,0,3,429,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 5"
"CA","B2",3.01,728,0,1,665,"Agency 3"
"CA","B2",63.04,2840,6,17,2708,"Agency 2"
"CA","B2",16.06,1666,5,14,1607,"Agency 3"
"CA","B2",7.24,253,0,0,228,"Agency 2"
"CA","B2",10.42,387,0,3,369,"Agency 3"
"CA","B2",14.57,664,1,5,644,"Agency 3"
"CA","B2",1.99,378,0,0,346,"Agency 3"
"CA","B2",2.02,847,0,3,818,"Agency 3"
"CA","B2",65.82,2889,2,19,2741,"Agency 2"
"CA","B2",16.58,460,0,4,432,"Agency 2"
"CA","B2",3.87,129,0,2,125,"Agency 3"
"CA","B2",34.42,1335,0,8,1270,"Agency 7"
"CA","B2",32.28,935,0,7,842,"Agency 7"
"CA","B2",55.38,2355,1,21,2089,"Agency 2"
"CA","B2",34.85,2173,2,20,2086,"Agency 3"
"CA","B2",7.58,185,2,4,178,"Agency 2"
"CA","B2",0.97,240,0,0,214,"Agency 3"
"CA","B2",2.04,754,0,0,737,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",75.47,2301,3,23,2017,"Agency 2"
"CA","B2",15.54,514,1,6,434,"Agency 2"
"CA","B2",36,1595,1,11,1555,"Agency 3"
"CA","B2",50.76,2363,0,19,2248,"Agency 2"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",20.61,854,0,2,790,"Agency 4"
"CA","B2",64.32,2836,5,26,2635,"Agency 2"
"CA","B2",7.35,208,0,4,196,"Agency 2"
"CA","B2",23.7,1086,2,6,1029,"Agency 3"
"CA","B2",31.84,1670,2,12,1555,"Agency 2"
"CA","B2",10.35,355,1,2,342,"Agency 3"
"CA","B2",19.07,1209,1,4,1153,"Agency 3"
"CA","B2",2.07,465,0,0,456,"Agency 3"
"CA","B2",9.97,451,1,1,433,"Agency 3"
"CA","B2",48.67,2033,2,12,1893,"Agency 2"
"CA","B2",2.03,362,0,0,352,"Agency 3"
"CA","B2",23.15,994,1,8,950,"Agency 3"
"CA","B2",64.85,3546,5,33,3352,"Agency 2"
"CA","B2",32.19,2053,1,15,1963,"Agency 2"
"CA","B2",2,461,0,1,451,"Agency 3"
"CA","B2",50.29,2496,4,24,2365,"Agency 2"
"CA","B2",2.02,192,0,1,188,"Agency 3"
"CA","B2",12.39,387,0,0,379,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 2"
"CA","B2",9.93,500,1,4,481,"Agency 3"
"CA","B2",1.18,25,0,0,22,"Agency 3"
"CA","B2",25.39,1085,0,7,979,"Agency 2"
"CA","B2",62.59,2063,1,17,1937,"Agency 2"
"CA","B2",66.27,3021,12,41,2884,"Agency 2"
"CA","B2",8.69,401,0,2,393,"Agency 3"
