"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"VA","B3",70.77,3940,2,13,3670,"Agency 3"
"MI","B3",30,1296,3,18,1240,"Agency 3"
"TX","B3",12.83,367,1,3,343,"Agency 4"
"TX","B3",7.65,665,2,3,656,"Agency 3"
"VA","B3",45.06,2323,6,20,2231,"Agency 3"
"MI","B3",15.04,738,1,4,657,"Agency 4"
"TX","B3",20.1,975,5,7,905,"Agency 2"
"DC","B3",31.76,1542,2,12,1525,"Agency 8"
"CA","B3",20.03,1127,1,10,1056,"Agency 3"
"CA","B3",19.18,900,3,14,891,"Agency 2"
"NY","B3",16.85,786,0,5,761,"Agency 3"
"TX","B3",22.59,1124,0,5,1075,"Agency 3"
"FL","B3",15.15,582,1,4,554,"Agency 3"
"VA","B3",31.15,1231,0,4,1135,"Agency 3"
"CO","B3",30.76,1327,2,14,1283,"Agency 2"
"VA","B3",0,0,0,0,0,"Agency 3"
"VA","B3",15.56,921,4,18,874,"Agency 3"
"VA","B3",21.35,953,1,2,887,"Agency 3"
"CA","B3",63.47,2459,3,27,2399,"Agency 8"
"FL","B3",31.2,2331,4,90,2242,"Agency 8"
"MD","B3",35.99,2025,5,17,1917,"Agency 8"
"CA","B3",35.4,1410,1,17,1361,"Agency 8"
"GA","B3",44.72,1917,2,20,1870,"Agency 8"
"CA","B3",78.12,3445,2,19,3337,"Agency 3"
"FL","B3",47.37,3084,3,26,3017,"Agency 8"
"CA","B3",19.22,853,3,12,820,"Agency 2"
"VA","B3",47.76,1680,1,11,1596,"Agency 3"
"OH","B3",21.61,858,2,4,776,"Agency 2"
"FL","B3",37.4,2052,3,15,2000,"Agency 3"
"CA","B3",45.98,1508,0,4,1460,"Agency 8"
"CA","B3",49.78,2000,2,37,1922,"Agency 8"
"CA","B3",32.43,1668,1,6,1511,"Agency 2"
"CA","B3",23.73,1069,1,13,1016,"Agency 2"
"CO","B3",31.98,1451,0,3,1397,"Agency 3"
"CA","B3",15.75,693,0,0,656,"Agency 3"
"MO","B3",53.69,2011,5,24,1977,"Agency 8"
"TN","B3",49.97,3352,2,8,3253,"Agency 4"
"WA","B3",32.44,1828,2,6,1791,"Agency 3"
"MD","B3",29.63,2509,4,12,2276,"Agency 8"
"FL","B3",50.99,3044,9,44,2967,"Agency 8"
"DC","B3",33.7,1567,2,9,1495,"Agency 8"
"TN","B3",49.15,2542,4,39,2207,"Agency 2"
"CA","B3",65.27,3249,3,32,3168,"Agency 8"
"TX","B3",19.58,1210,2,11,1169,"Agency 3"
"TX","B3",13.74,420,0,0,388,"Agency 4"
"FL","B3",41.15,1940,2,33,1829,"Agency 8"
"TX","B3",46.06,2108,0,34,2013,"Agency 3"
"OK","B3",32.13,1651,2,11,1537,"Agency 2"
"TX","B3",0,0,0,0,0,"Agency 3"
"WA","B3",46.38,1370,1,14,1233,"Agency 3"
"CA","B3",52.58,1976,3,42,1916,"Agency 8"
"NC","B3",33.85,1608,1,5,1546,"Agency 3"
"CA","B3",61.13,2348,2,20,2173,"Agency 2"
"GA","B3",33.69,1871,6,21,1824,"Agency 8"
"NJ","B3",39.11,1828,2,8,1698,"Agency 2"
"VA","B3",26.66,1232,1,7,1128,"Agency 3"
"MO","B3",54.91,4006,3,58,3801,"Agency 8"
"MO","B3",49.51,3264,4,16,3170,"Agency 8"
"OH","B3",24.12,1568,1,3,1442,"Agency 2"
"CA","B3",49.47,2133,1,18,2027,"Agency 2"
"CA","B3",21.77,1137,1,9,1083,"Agency 3"
"TX","B3",0,0,0,0,0,"Agency 3"
"NE","B3",76.52,4841,4,54,4494,"Agency 2"
"TX","B3",35.79,1544,1,11,1484,"Agency 3"
"FL","B3",35.22,1959,7,16,1819,"Agency 8"
"CO","B3",31.32,1008,0,8,912,"Agency 3"
"TX","B3",27.57,1428,2,25,1373,"Agency 2"
"CA","B3",15.62,824,0,3,761,"Agency 3"
"TX","B3",2.37,21,0,0,18,"Agency 3"
"CA","B3",48.94,2222,3,22,1996,"Agency 2"
"IL","B3",21.61,673,0,8,603,"Agency 2"
"VA","B3",22.44,1238,2,4,1146,"Agency 3"
"GA","B3",44.35,2001,2,19,1965,"Agency 8"
"NY","B3",63.14,2415,5,10,2347,"Agency 2"
"MN","B3",33.13,1019,4,15,961,"Agency 3"
"CA","B3",21.24,1431,1,8,1403,"Agency 3"
"TX","B3",31.1,1067,3,12,1032,"Agency 3"
"CT","B3",22.61,1018,1,7,978,"Agency 3"
"WA","B3",22.51,689,2,7,670,"Agency 3"
"VA","B3",22.56,1367,2,6,1283,"Agency 3"
"CA","B3",16.11,551,0,7,541,"Agency 2"
"TN","B3",98.32,4704,2,20,4287,"Agency 2"
"NE","B3",62.31,1927,0,5,1786,"Agency 2"
"CA","B3",33.98,3233,3,30,3178,"Agency 3"
"TN","B3",48.1,2828,4,19,2516,"Agency 3"
"MO","B3",46.85,2713,3,13,2568,"Agency 8"
"VA","B3",24.88,1427,1,4,1332,"Agency 3"
"CA","B3",43.06,1030,6,22,961,"Agency 3"
"CO","B3",0,0,0,0,0,"Agency 3"
"CA","B3",8.41,455,0,3,452,"Agency 3"
"NC","B3",28.72,1290,1,8,1225,"Agency 3"
"CA","B3",72.36,1984,2,20,1805,"Agency 2"
"NY","B3",31.89,981,0,7,926,"Agency 2"
"OH","B3",25.83,1310,0,8,1249,"Agency 2"
"MA","B3",40.77,2875,1,22,2747,"Agency 3"
"TX","B3",9.23,235,0,1,226,"Agency 8"
"SC","B3",29.49,1075,1,17,958,"Agency 2"
"MI","B3",6.75,275,0,2,257,"Agency 4"
"NJ","B3",15.66,691,2,5,674,"Agency 3"
"MO","B3",55.16,2163,0,18,2093,"Agency 8"
"CA","B3",48.36,2273,2,9,2171,"Agency 2"
"VA","B3",32.62,1473,1,9,1386,"Agency 3"
"OH","B3",24.43,1274,0,3,1227,"Agency 2"
"MO","B3",29.39,1193,1,6,1120,"Agency 3"
"TX","B3",67.05,3037,2,26,2870,"Agency 3"
"NY","B3",31.98,1540,2,4,1456,"Agency 2"
"CA","B3",28.65,1052,2,9,1007,"Agency 3"
"MD","B3",65.8,3265,2,22,3026,"Agency 8"
"TN","B3",51.62,1778,1,29,1606,"Agency 2"
"MO","B3",53.14,3210,0,25,3124,"Agency 8"
"NY","B3",26.25,1191,7,21,1186,"Agency 8"
"CA","B3",48.7,2106,2,18,1824,"Agency 2"
"CA","B3",34.78,1598,3,16,1546,"Agency 8"
"NC","B3",0,0,0,0,0,"Agency 3"
"CT","B3",29.8,730,0,7,638,"Agency 6"
"TX","B3",19.98,734,1,4,645,"Agency 3"
"CA","B3",50.3,1623,0,19,1519,"Agency 3"
"VA","B3",47.4,2983,0,11,2832,"Agency 8"
"GA","B3",30.53,1560,1,9,1522,"Agency 4"
"OH","B3",30.86,1405,0,6,1335,"Agency 2"
"CA","B3",45.2,1490,2,13,1426,"Agency 3"
"NY","B3",39.32,1561,2,12,1468,"Agency 3"
"CA","B3",52.88,2564,5,43,2496,"Agency 8"
"MI","B3",0,0,0,0,0,"Agency 3"
"TX","B3",15.98,632,0,1,571,"Agency 3"
"NY","B3",65.24,3569,6,40,3207,"Agency 2"
"CA","B3",15.64,697,1,5,680,"Agency 2"
"TX","B3",33.47,1968,1,6,1870,"Agency 3"
"CA","B3",51.56,2213,1,43,2133,"Agency 8"
"VA","B3",15.26,751,0,7,712,"Agency 3"
"VA","B3",31.52,1424,0,3,1322,"Agency 3"
"NY","B3",11.6,684,1,14,680,"Agency 3"
"MI","B3",13.8,641,1,4,573,"Agency 4"
"TX","B3",52.64,2302,0,6,2011,"Agency 3"
