,spend,Impressions,leads,link_clicks,reach,Agency Tiers
690,16.31,820,1,6,746,
691,49.46,2110,0,13,1892,
692,32.69,1535,1,6,1441,
693,63.34,2489,1,20,2393,
694,56.84,2199,0,3,1980,
695,7.07,421,0,0,380,
696,18.66,816,0,3,723,
697,65.53,3230,1,29,3063,
698,31.7,1572,1,14,1487,
699,48.72,2835,1,27,2720,
700,64.5,3379,1,31,2897,
701,67.61,3606,0,16,3351,
702,41.29,2317,1,39,2173,
703,15.59,881,1,16,831,
704,33.15,1377,1,21,1232,
705,66.65,3612,1,20,3474,
706,55.05,2066,1,15,1874,
707,49.35,2200,1,24,2087,
708,51.09,2368,1,12,2233,
709,34.84,1465,1,19,1404,
710,46.38,1907,1,36,1731,
711,81.12,2918,1,29,2641,
712,48.61,2133,0,14,1876,
713,41.35,1600,1,17,1491,
714,41.25,2468,1,47,2120,
715,50.33,1852,1,26,1713,
716,48.34,2622,1,24,2443,
717,23.95,1190,1,4,1115,
718,31.84,2217,1,12,2079,
719,24.92,1396,1,11,1354,
720,6.68,285,1,5,264,
721,40.94,2599,1,33,2448,
722,50.01,2142,0,7,1992,
723,49.88,2303,1,23,2230,
724,16.04,404,0,7,374,
725,32.36,1300,1,7,1191,
726,64.47,3923,1,17,3767,
727,36.98,1190,0,10,1089,
728,69.16,3132,1,31,2930,
729,48.09,1521,1,15,1313,
730,31.11,1422,0,11,1322,
731,31.68,1646,0,14,1559,
732,63.18,2688,0,18,2504,
733,64.06,2638,1,14,2529,
734,35.37,1452,1,15,1360,
735,32.37,1605,1,13,1534,
736,31.0,1246,1,8,1094,
737,65.44,2615,1,22,2406,
738,32.02,1473,1,14,1390,
739,50.14,2839,0,8,2699,
740,32.83,1555,1,24,1429,
741,6.95,170,1,1,157,
742,32.79,1883,1,14,1699,
743,72.03,4371,1,31,4066,
744,48.08,1666,0,5,1569,
745,38.99,1595,1,16,1496,
746,52.69,2569,1,11,2369,
747,49.6,1746,1,10,1646,
748,16.02,789,0,5,689,
749,50.21,2271,1,29,2210,
750,6.93,218,0,4,209,
751,41.0,1924,1,18,1571,
752,32.04,1820,1,10,1713,
753,39.92,1142,0,19,1032,
754,64.09,3125,1,19,2934,
755,41.92,2229,1,16,2013,
756,33.0,2200,1,40,2115,
757,7.86,435,0,2,383,
758,15.95,760,1,10,697,
759,31.84,1324,1,13,1238,
760,67.19,2986,1,17,2796,
761,32.15,1427,1,10,1340,
762,62.69,1671,0,23,1482,
763,48.39,1766,1,17,1591,
764,48.24,2315,1,22,2172,
765,49.37,1932,0,14,1706,
766,31.07,1249,0,10,1175,
767,49.91,2153,1,28,2078,
768,32.34,1625,1,6,1546,
769,31.0,1606,1,21,1569,
770,49.62,1953,0,11,1773,
