"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"OR","B2",48.48,1769,0,8,1639,"Agency 2"
"FL","B2",41.46,1474,4,17,1358,"Agency 2"
"WA","B2",47.46,2132,6,38,1923,"Agency 2"
"TX","B2",15.57,908,3,18,830,"Agency 2"
"TX","B2",23.78,1017,0,6,950,"Agency 2"
"OR","B2",52.55,2397,3,11,2274,"Agency 5"
"VA","B2",34.77,2097,2,19,1998,"Agency 2"
"AZ","B2",32.18,1166,4,12,1105,"Agency 2"
"PA","B2",40.27,2285,1,19,2081,"Agency 2"
"UT","B2",10.69,502,0,1,490,"Agency 4"
"CA","B2",2,342,0,1,335,"Agency 3"
"CA","B2",29.81,1390,4,14,1360,"Agency 3"
"OH","B2",12.1,428,1,2,414,"Agency 3"
"CA","B2",30.38,1584,0,3,1497,"Agency 2"
"CA","B2",64.96,2829,3,15,2710,"Agency 2"
"MN","B2",0,0,0,0,0,"Agency 3"
"MI","B2",49.15,1733,2,16,1618,"Agency 2"
"VA","B2",32.06,1453,3,18,1361,"Agency 2"
"UT","B2",0,0,0,0,0,"Agency 4"
"IL","B2",32.8,1102,0,8,893,"Agency 5"
"IA","B2",50.35,2718,2,13,2573,"Agency 3"
"TX","B2",0,0,0,0,0,"Agency 3"
"NC","B2",48.51,1876,1,10,1741,"Agency 2"
"FL","B2",15.53,722,0,1,683,"Agency 3"
"NC","B2",16.03,845,1,13,809,"Agency 2"
"CA","B2",15.75,605,1,4,582,"Agency 2"
"CA","B2",51.64,1640,7,20,1469,"Agency 7"
"CA","B2",36.65,2961,0,20,2884,"Agency 3"
"FL","B2",46.99,1881,0,16,1755,"Agency 3"
"CA","B2",32.32,1868,3,18,1744,"Agency 2"
"PA","B2",32.01,1526,1,17,1442,"Agency 2"
"FL","B2",57.52,2445,1,7,2113,"Agency 5"
"TX","B2",30.8,1391,0,10,1302,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",54.03,2267,3,18,1998,"Agency 7"
"TN","B2",0,0,0,0,0,"Agency 3"
"IL","B2",46.69,1373,0,12,1163,"Agency 5"
"CA","B2",32.04,1394,0,9,1258,"Agency 2"
"CA","B2",22.05,588,1,3,530,"Agency 3"
"TX","B2",42.47,1904,1,15,1811,"Agency 3"
"CO","B2",18.42,608,0,4,577,"Agency 3"
"MN","B2",26.26,1184,2,6,1120,"Agency 3"
"NJ","B2",45,2336,4,14,2015,"Agency 7"
"ID","B2",95.58,4487,5,19,4138,"Agency 5"
"CA","B2",73.4,3690,5,32,3470,"Agency 2"
"CA","B2",1.97,167,0,0,164,"Agency 3"
"CA","B2",7.84,414,0,3,401,"Agency 3"
"IA","B2",52.01,3876,11,16,3472,"Agency 3"
"CA","B2",58.81,2293,2,18,2114,"Agency 7"
"CA","B2",0,0,0,0,0,"Agency 3"
"TX","B2",32.23,1178,3,15,1089,"Agency 2"
"UT","B2",33.98,2518,2,19,2365,"Agency 4"
"TX","B2",24.36,1508,1,19,1416,"Agency 2"
"UT","B2",24.04,640,2,6,607,"Agency 2"
"MI","B2",61.2,4031,2,19,3892,"Agency 3"
"CO","B2",0,0,0,0,0,"Agency 3"
"CA","B2",33.94,941,0,7,882,"Agency 3"
"CA","B2",10.68,502,1,5,493,"Agency 3"
"MI","B2",0,0,0,0,0,"Agency 3"
"CA","B2",32.69,1396,1,10,1379,"Agency 5"
"UT","B2",0,0,0,0,0,"Agency 4"
"AZ","B2",17.49,935,0,3,904,"Agency 3"
"FL","B2",29.38,1381,0,32,1308,"Agency 3"
"OH","B2",0,0,0,0,0,"Agency 3"
"FL","B2",29.92,1454,1,32,1378,"Agency 3"
"UT","B2",48.97,3254,3,15,3063,"Agency 2"
"CA","B2",32.18,1894,1,9,1828,"Agency 3"
"CA","B2",16.8,387,1,2,363,"Agency 2"
"TN","B2",2.1,149,0,2,139,"Agency 3"
"CA","B2",17.97,565,0,5,491,"Agency 2"
"CA","B2",3.19,898,0,1,811,"Agency 3"
"IL","B2",32.26,1398,0,7,1329,"Agency 2"
"UT","B2",0,0,0,0,0,"Agency 4"
"CA","B2",65.96,3538,5,30,3340,"Agency 2"
"NJ","B2",63.09,2199,2,20,1999,"Agency 2"
"IL","B2",52.68,1834,5,18,1768,"Agency 8"
"IL","B2",31.36,1279,1,6,1218,"Agency 2"
"CA","B2",4.96,303,2,6,294,"Agency 7"
