,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
29701,CA,38.3,2034,1,10,1956,
29702,NJ,32.51,1932,1,14,1829,
29703,CA,26.35,989,1,5,906,
29704,CA,25.81,1110,1,14,1036,
29705,VA,0.0,0,0,0,0,
29706,VA,32.07,1652,1,7,1488,
29707,MN,8.05,442,1,2,419,
29708,MN,8.04,451,1,3,438,
29709,CT,0.0,0,0,0,0,
29710,CT,58.4,2696,1,20,2578,
29711,CO,7.4,212,0,0,209,
29712,CO,31.6,785,0,7,738,
29713,TX,32.22,1810,1,15,1766,
29714,CT,48.18,2261,1,46,2053,
29715,CO,18.32,630,1,5,620,
29716,CO,31.37,871,1,12,831,
29717,VA,16.55,678,0,10,589,
29718,VA,16.73,649,1,7,604,
29719,WA,0.0,0,0,0,0,
29720,FL,49.01,1867,1,20,1769,
29721,NC,29.46,1470,0,14,1404,
29722,FL,48.82,1801,1,27,1683,
29723,TX,48.56,3159,1,30,3029,
29724,TX,0.0,0,0,0,0,
29725,TX,0.0,0,0,0,0,
29726,TX,0.0,0,0,0,0,
29727,VA,24.55,924,0,6,880,
29728,SD,47.66,1932,1,17,1793,
29729,SD,0.0,0,0,0,0,
29730,CO,15.11,537,1,5,498,
29731,CO,15.57,766,1,4,751,
29732,CO,0.0,0,0,0,0,
29733,TX,72.1,2720,1,44,2474,
29734,NY,11.23,461,0,1,438,
29735,NY,10.11,470,1,3,455,
29736,VA,22.98,1529,1,11,1498,
29737,VA,22.74,883,1,11,853,
29738,CA,33.0,1331,1,6,1239,
29739,CA,55.94,1791,0,4,1706,
29740,CA,57.03,1418,0,1,1211,
29741,MI,25.23,1024,1,7,988,
29742,MI,0.0,0,0,0,0,
29743,MI,30.09,1053,0,7,995,
29744,FL,48.43,1896,1,18,1804,
29745,SD,0.0,0,0,0,0,
29746,SD,50.3,2222,1,27,2022,
29747,SD,0.0,0,0,0,0,
29748,VA,16.68,600,0,8,568,
29749,VA,17.06,818,1,9,707,
