,state,brand,spend,Impressions,leads,link_clicks,reach,agency,Agency Tiers
12307,CA,B2,8.55,330,0,3,325,Agency 3,4
12308,CA,B2,9.0,413,1,5,407,Agency 3,4
12309,CA,B2,6.49,276,1,2,269,Agency 3,4
12310,CA,B2,16.96,577,0,6,551,Agency 3,4
12311,CA,B2,6.3,261,0,3,252,Agency 3,4
12312,CA,B2,11.2,413,0,1,400,Agency 3,4
12313,CA,B2,12.12,409,0,1,390,Agency 3,4
12314,CA,B2,4.89,345,1,5,339,Agency 3,4
12315,CA,B2,1.5,96,0,1,94,Agency 3,4
12316,CA,B2,5.15,220,0,1,217,Agency 3,4
12317,CA,B2,16.74,1017,0,2,996,Agency 3,4
12318,CA,B2,29.81,1801,1,13,1758,Agency 3,4
12319,CA,B2,7.1,327,1,3,317,Agency 3,4
12320,CA,B2,14.89,836,1,20,807,Agency 3,4
12321,CA,B2,7.86,276,0,5,273,Agency 3,4
12322,CA,B2,46.88,2287,1,13,2170,Agency 3,4
12323,CA,B2,9.7,388,1,2,382,Agency 3,4
12324,CA,B2,7.32,277,1,4,274,Agency 3,4
12325,CA,B2,16.19,476,1,5,447,Agency 3,4
12326,CA,B2,8.21,275,0,1,269,Agency 3,4
12327,CA,B2,7.1,270,0,3,266,Agency 3,4
12328,CA,B2,16.78,658,0,3,647,Agency 3,4
12329,CA,B2,32.85,1579,1,8,1504,Agency 3,4
12330,CA,B2,12.16,712,0,2,672,Agency 3,4
12331,CA,B2,12.18,676,0,27,645,Agency 3,4
12332,CA,B2,5.4,351,1,7,343,Agency 3,4
12333,CA,B2,24.26,1281,0,10,1241,Agency 3,4
12334,CA,B2,24.36,1226,1,13,1196,Agency 3,4
12335,CA,B2,46.46,2238,1,16,2141,Agency 3,4
12336,CA,B2,33.3,1591,0,8,1517,Agency 3,4
12337,CA,B2,11.91,428,0,7,412,Agency 3,4
12338,CA,B2,11.7,486,0,1,458,Agency 3,4
12339,CA,B2,8.71,363,0,3,357,Agency 3,4
12340,CA,B2,5.06,278,0,1,264,Agency 3,4
12341,CA,B2,18.47,684,0,1,637,Agency 3,4
12342,CA,B2,15.48,869,0,5,801,Agency 3,4
12343,CA,B2,3.87,225,0,0,222,Agency 3,4
12344,CA,B2,12.07,837,1,41,747,Agency 3,4
12345,CA,B2,6.1,292,0,5,286,Agency 3,4
12346,CA,B2,17.37,593,0,3,574,Agency 3,4
12347,CA,B2,36.02,1927,1,20,1814,Agency 3,4
12348,CA,B2,16.1,486,0,1,467,Agency 3,4
12349,CA,B2,7.93,246,0,1,234,Agency 3,4
12350,CA,B2,13.33,819,1,2,807,Agency 3,4
12351,CA,B2,5.15,275,0,2,272,Agency 3,4
12352,CA,B2,5.11,291,0,1,286,Agency 3,4
12353,CA,B2,5.16,303,0,2,297,Agency 3,4
12354,CA,B2,6.58,306,0,0,301,Agency 3,4
12355,CA,B2,9.14,444,0,1,438,Agency 3,4
12356,CA,B2,7.91,397,0,1,384,Agency 3,4
12357,CA,B2,16.76,577,1,2,561,Agency 3,4
12358,CA,B2,7.25,253,1,2,245,Agency 3,4
12359,CA,B2,15.65,853,0,3,832,Agency 3,4
12360,CA,B2,21.75,940,1,10,905,Agency 3,4
12361,CA,B2,9.96,395,0,3,385,Agency 3,4
12362,CA,B2,7.04,229,1,2,225,Agency 3,4
12363,CA,B2,8.18,311,0,2,307,Agency 3,4
12364,CA,B2,7.92,339,0,5,332,Agency 3,4
12365,CA,B2,14.2,850,1,30,829,Agency 3,4
12366,CA,B2,30.41,1731,1,14,1695,Agency 3,4
12367,CA,B2,6.72,170,0,0,166,Agency 3,4
12368,CA,B2,15.57,377,0,3,360,Agency 3,4
12369,CA,B2,24.5,963,1,6,927,Agency 3,4
12370,CA,B2,9.33,340,0,0,335,Agency 3,4
12371,CA,B2,8.97,336,1,2,324,Agency 3,4
12372,CA,B2,5.29,205,0,1,190,Agency 3,4
12373,CA,B2,12.26,389,1,7,359,Agency 3,4
12374,CA,B2,12.05,432,1,3,413,Agency 3,4
12375,CA,B2,18.3,646,0,2,621,Agency 3,4
12376,CA,B2,7.32,314,0,1,303,Agency 3,4
12377,CA,B2,5.0,261,0,0,254,Agency 3,4
12378,CA,B2,11.89,365,0,3,344,Agency 3,4
12379,CA,B2,16.23,569,0,6,558,Agency 3,4
12380,CA,B2,12.12,340,0,0,335,Agency 3,4
12381,CA,B2,6.95,230,1,3,227,Agency 3,4
12382,CA,B2,4.99,291,0,4,282,Agency 3,4
12383,CA,B2,5.02,201,0,0,197,Agency 3,4
12384,CA,B2,16.7,707,1,8,595,Agency 3,4
12385,CA,B2,16.39,860,1,1,770,Agency 3,4
12386,CA,B2,16.63,462,0,5,438,Agency 3,4
12387,CA,B2,6.95,183,1,1,175,Agency 3,4
12388,CA,B2,36.46,2138,1,14,2059,Agency 3,4
12389,CA,B2,34.96,1672,0,18,1636,Agency 3,4
12390,CA,B2,10.13,491,1,4,478,Agency 3,4
12391,CA,B2,30.0,1363,1,16,1324,Agency 3,4
12392,CA,B2,9.57,429,0,8,414,Agency 3,4
12393,CA,B2,10.1,321,0,3,315,Agency 3,4
12394,CA,B2,10.64,701,1,12,681,Agency 3,4
12395,CA,B2,9.43,329,0,2,317,Agency 3,4
12396,CA,B2,7.65,174,0,0,167,Agency 3,4
12397,CA,B2,6.22,144,0,1,139,Agency 3,4
12398,CA,B2,50.39,2155,1,18,2055,Agency 3,4
12399,CA,B2,16.3,786,0,1,680,Agency 3,4
12400,CA,B2,16.46,720,1,7,595,Agency 3,4
12401,CA,B2,6.3,215,1,4,211,Agency 3,4
12402,CA,B2,19.35,548,1,8,521,Agency 3,4
12403,CA,B2,14.43,478,1,3,463,Agency 3,4
12404,CA,B2,5.17,214,0,3,210,Agency 3,4
12405,CA,B2,7.93,279,1,7,271,Agency 3,4
12406,CA,B2,5.18,251,0,3,242,Agency 3,4
12407,CA,B2,7.7,218,0,0,208,Agency 3,4
12408,CA,B2,7.72,201,1,2,191,Agency 3,4
12409,CA,B2,10.42,415,0,5,407,Agency 3,4
12410,CA,B2,10.79,394,1,5,383,Agency 3,4
12411,CA,B2,35.91,1494,1,15,1443,Agency 3,4
12412,CA,B2,10.42,793,1,21,778,Agency 3,4
12413,CA,B2,9.91,449,0,3,435,Agency 3,4
12414,CA,B2,44.06,1906,1,20,1840,Agency 3,4
12415,CA,B2,7.19,280,0,0,267,Agency 3,4
12416,CA,B2,7.12,217,0,0,209,Agency 3,4
12417,CA,B2,11.28,315,0,3,302,Agency 3,4
12418,CA,B2,40.52,2192,1,13,2104,Agency 3,4
12419,CA,B2,6.48,173,1,2,165,Agency 3,4
12420,CA,B2,6.58,227,1,7,214,Agency 3,4
12421,CA,B2,13.17,441,0,3,427,Agency 3,4
12422,CA,B2,18.0,558,1,2,522,Agency 3,4
12423,CA,B2,8.74,311,0,3,295,Agency 3,4
12424,CA,B2,24.26,890,0,8,844,Agency 3,4
12425,CA,B2,48.19,1883,1,9,1813,Agency 3,4
12426,CA,B2,6.5,167,0,0,158,Agency 3,4
12427,CA,B2,18.64,530,1,7,514,Agency 3,4
12428,CA,B2,17.94,420,0,2,387,Agency 3,4
12429,CA,B2,18.95,621,0,3,589,Agency 3,4
12430,CA,B2,4.9,217,1,2,211,Agency 3,4
12431,CA,B2,7.65,221,0,2,210,Agency 3,4
12432,CA,B2,7.7,243,0,2,221,Agency 3,4
12433,CA,B2,5.21,255,0,1,249,Agency 3,4
12434,CA,B2,18.67,469,1,5,426,Agency 3,4
12435,CA,B2,18.56,653,0,4,609,Agency 3,4
12436,CA,B2,6.54,177,1,3,168,Agency 3,4
